id,nome,codigo,sigla,municipio_id,padrao,principal
1,Taguatinga,0508,Tag,1,N,N
2,Sobradinho,0510,NULL,1,N,N
3,Gama,0507,NULL,1,N,N
5,"Nova União",05,NULL,2,N,N
6,Teixeirópolis,05,NULL,3,N,N
7,Theobroma,05,NULL,4,N,N
8,Urupá,05,NULL,5,N,N
9,"Vale do Paraíso",05,NULL,6,N,N
10,"Nova Brasilândia D'Oeste",05,NULL,7,N,N
11,"São Miguel do Guaporé",05,NULL,8,N,N
12,"Santana do Guaporé",20,NULL,8,N,N
13,"Alvorada D'Oeste",05,NULL,9,N,N
14,Tancredópolis,25,NULL,9,N,N
15,"Terra Boa",30,NULL,9,N,N
16,Seringueiras,05,NULL,10,N,N
17,"Alta Floresta D'Oeste",05,NULL,11,N,N
18,"Filadélfia d'Oeste",15,NULL,11,N,N
19,Izidolândia,20,NULL,11,N,N
20,"Nova Gease d'Oeste",25,NULL,11,N,N
21,"Rolim de Moura do Guaporé",30,NULL,11,N,N
22,"Santo Antônio d'Oeste",35,NULL,11,N,N
23,Cacoal,05,NULL,12,N,N
24,Riozinho,10,NULL,12,N,N
25,"Espigão D'Oeste",05,NULL,13,N,N
26,"Boa Vista do Pacarana",10,NULL,13,N,N
27,"Novo Paraíso",12,NULL,13,N,N
28,"Flor da Serra",15,NULL,13,N,N
29,"Nova Esperança",18,NULL,13,N,N
30,"Rolim de Moura",05,NULL,14,N,N
31,"Santa Luzia D'Oeste",05,NULL,15,N,N
32,"Alto Alegre dos Parecis",05,NULL,16,N,N
33,"Novo Horizonte do Oeste",05,NULL,17,N,N
34,Castanheiras,05,NULL,18,N,N
35,"Ministro Andreazza",05,NULL,19,N,N
36,"Pimenta Bueno",05,NULL,20,N,N
37,"Marco Rondon",15,NULL,20,N,N
38,Vilhena,05,NULL,21,N,N
39,Chupinguaia,05,NULL,22,N,N
40,Parecis,05,NULL,23,N,N
41,"Primavera de Rondônia",05,NULL,24,N,N
42,"São Felipe D'Oeste",05,NULL,25,N,N
43,Cabixi,05,NULL,26,N,N
44,Cerejeiras,05,NULL,27,N,N
45,"Colorado do Oeste",05,NULL,28,N,N
46,Corumbiara,05,NULL,29,N,N
47,"Pimenteiras do Oeste",05,NULL,30,N,N
48,"Cruzeiro do Sul",05,NULL,31,N,N
49,"Mâncio Lima",05,NULL,32,N,N
50,"Marechal Thaumaturgo",05,NULL,33,N,N
51,"Porto Walter",05,NULL,34,N,N
52,"Rodrigues Alves",05,NULL,35,N,N
53,Feijó,05,NULL,36,N,N
54,Jordão,05,NULL,37,N,N
55,Tarauacá,05,NULL,38,N,N
56,"Manoel Urbano",05,NULL,39,N,N
57,"Santa Rosa do Purus",05,NULL,40,N,N
58,"Sena Madureira",05,NULL,41,N,N
59,Acrelândia,05,NULL,42,N,N
60,Bujari,05,NULL,43,N,N
61,Capixaba,05,NULL,44,N,N
62,"Plácido de Castro",05,NULL,45,N,N
63,Campinas,10,NULL,45,N,N
64,"Rio Branco",05,NULL,46,N,N
65,"Senador Guiomard",05,NULL,47,N,N
66,"Porto Acre",05,NULL,48,N,N
67,"Vila do Caquetá",20,NULL,48,N,N
68,"Vila do Incra",23,NULL,48,N,N
69,"Vila do V",25,NULL,48,N,N
70,"Assis Brasil",05,NULL,49,N,N
71,Brasiléia,05,NULL,50,N,N
