id,nome,codigo,sigla,estado_id,padrao,capital
1,Brasília,00108,BSB,1,S,S
2,"Nova União",01435,NULL,3,N,N
3,Teixeirópolis,01559,NULL,3,N,N
4,Theobroma,01609,NULL,3,N,N
5,Urupá,01708,NULL,3,N,N
6,"Vale do Paraíso",01807,NULL,3,N,N
7,"Nova Brasilândia D'Oeste",00148,NULL,3,N,N
8,"São Miguel do Guaporé",00320,NULL,3,N,N
9,"Alvorada D'Oeste",00346,NULL,3,N,N
10,Seringueiras,01500,NULL,3,N,N
11,"Alta Floresta D'Oeste",00015,NULL,3,N,N
12,Cacoal,00049,NULL,3,N,N
13,"Espigão D'Oeste",00098,NULL,3,N,N
14,"Rolim de Moura",00288,NULL,3,N,N
15,"Santa Luzia D'Oeste",00296,NULL,3,N,N
16,"Alto Alegre dos Parecis",00379,NULL,3,N,N
17,"Novo Horizonte do Oeste",00502,NULL,3,N,N
18,Castanheiras,00908,NULL,3,N,N
19,"Ministro Andreazza",01203,NULL,3,N,N
20,"Pimenta Bueno",00189,NULL,3,N,N
21,Vilhena,00304,NULL,3,N,N
22,Chupinguaia,00924,NULL,3,N,N
23,Parecis,01450,NULL,3,N,N
24,"Primavera de Rondônia",01476,NULL,3,N,N
25,"São Felipe D'Oeste",01484,NULL,3,N,N
26,Cabixi,00031,NULL,3,N,N
27,Cerejeiras,00056,NULL,3,N,N
28,"Colorado do Oeste",00064,NULL,3,N,N
29,Corumbiara,00072,NULL,3,N,N
30,"Pimenteiras do Oeste",01468,NULL,3,N,N
31,"Cruzeiro do Sul",00203,NULL,4,N,N
32,"Mâncio Lima",00336,NULL,4,N,N
33,"Marechal Thaumaturgo",00351,NULL,4,N,N
34,"Porto Walter",00393,NULL,4,N,N
35,"Rodrigues Alves",00427,NULL,4,N,N
36,Feijó,00302,NULL,4,N,N
37,Jordão,00328,NULL,4,N,N
38,Tarauacá,00609,NULL,4,N,N
39,"Manoel Urbano",00344,NULL,4,N,N
40,"Santa Rosa do Purus",00435,NULL,4,N,N
41,"Sena Madureira",00500,NULL,4,N,N
42,Acrelândia,00013,NULL,4,N,N
43,Bujari,00138,NULL,4,N,N
44,Capixaba,00179,NULL,4,N,N
45,"Plácido de Castro",00385,NULL,4,N,N
46,"Rio Branco",00401,NULL,4,N,N
47,"Senador Guiomard",00450,NULL,4,N,N
48,"Porto Acre",00807,NULL,4,N,N
49,"Assis Brasil",00054,NULL,4,N,N
50,Brasiléia,00104,NULL,4,N,N
51,Epitaciolândia,00252,NULL,4,N,N
52,Xapuri,00708,NULL,4,N,N
53,Barcelos,00409,NULL,5,N,N
54,"Novo Airão",03205,NULL,5,N,N
55,"Santa Isabel do Rio Negro",03601,NULL,5,N,N
56,"São Gabriel da Cachoeira",03809,NULL,5,N,N
57,Japurá,02108,NULL,5,N,N
58,Maraã,02801,NULL,5,N,N
59,Amaturá,00060,NULL,5,N,N
60,"Atalaia do Norte",00201,NULL,5,N,N
61,"Benjamin Constant",00607,NULL,5,N,N
